Vslope,Vint,aV,Kslope,Kint,aK,vMOD,kMOD,KO,CUE,tau_r,tau_K,Tau_MOD,fPHYS_r,fPHYS_K,fCHEM_r,fCHEM_K,fSOM_p,PHYS_scalar,FI,fmet_p,depth
0.063,5.47,8.00E-06,0.025,3.19,10,10,8,6,0.55,5.20E-04,2.40E-04,100,0.3,0.2,0.1,0.3,1.50E-05,2,0.05,1,30
0.063,5.47,8.00E-06,0.035,3.19,10,2,2,6,0.25,0.3,0.1,0.8,1.3,0.8,-3,-3,-1.5,-2,0.05,0.85,
0.063,5.47,8.00E-06,0.025,3.19,10,10,4,,0.75,,,1.2,,,1,1,,,,0.013,
0.063,5.47,8.00E-06,0.025,3.19,10,3,2,,0.35,,,2,,,,,,,,,
0.063,5.47,8.00E-06,0.035,3.19,10,3,4,,,,,,,,,,,,,,
0.063,5.47,8.00E-06,0.025,3.19,10,2,6,,,,,,,,,,,,,,
