Vslope,Vint,aV,Kslope,Kint,aK,vMOD,kMOD,KO,CUE,tau_r,tau_K,Tau_MOD,fPHYS_r,fPHYS_K,fCHEM_r,fCHEM_K,fSOM_p,PHYS_scalar,FI,fmet_p,depth
0.063,5.47,7.50E-08,0.02,3.19,0.15625,2,8,6,0.5,5.20E-04,2.40E-04,100,0,0,0.1,0.3,1.50E-05,2,0.05,1,5
0.063,5.47,7.50E-08,0.02,3.19,0.15625,0.4,2,6,0.25,0.3,0.1,0.6,0,0,-3,-3,-1.5,-2,0.05,0.85,
0.063,5.47,7.50E-08,0.02,3.19,0.15625,2,4,,0.7,,,1.3,,,1,1,,,,0.013,
0.063,5.47,7.50E-08,0.02,3.19,0.15625,0.6,2,,0.35,,,3.5,,,,,,,,,
0.063,5.47,7.50E-08,0.02,3.19,0.15625,0.6,4,,,,,,,,,,,,,,
0.063,5.47,7.50E-08,0.02,3.19,0.15625,0.4,6,,,,,,,,,,,,,,
