LITtype,litC,litN,litCN,litMET,litLIG,litCELL
TRAEf,47.3,0.38,133.3,10.6,16.2,73.2
PIREf,53.4,0.59,92.7,36.2,19.2,44.6
THPLf,51.1,0.62,83.1,37.4,26.7,35.9
ACSAf,49.8,0.81,61.8,56.8,15.9,27.3
QUPRf,51.5,1.03,50.5,37.1,23.5,39.4
DRGLf,47.8,1.97,24.2,49.3,10.9,39.8
ANGEr,37,0.63,59.4,22.4,10.5,67.1
PIELr,49.4,0.82,61.5,29.2,34.9,35.9
DRGLr,48.2,0.76,64.6,31.7,16.1,52.2
